Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
did	1	2870	4	2	2	1	36.384	7.977
i	2	53110	7	3	4	1	31.304	4.574
laugh	3	140	2	1	1	1	27.484	11.334
dig	4	410	2	2	0	1	23.170	9.784
hate	5	790	2	2	0	1	20.546	8.838
derifton	6	10	1	0	1	1	17.715	14.142
derifioa	6	10	1	0	1	1	17.715	14.142
fedivity	6	10	1	0	1	1	17.715	14.142
gnafh	6	10	1	0	1	1	17.715	14.142
neah	6	10	1	0	1	1	17.715	14.142
ontheeaft	6	10	1	0	1	1	17.715	14.142
fill	12	1730	2	0	2	1	17.418	7.707
lutrin	13	20	1	0	1	1	16.276	13.142
obie	13	20	1	0	1	1	16.276	13.142
monaghan	15	30	1	0	1	1	15.448	12.557
theocritus	16	40	1	1	0	1	14.865	12.142
weep	17	50	1	1	0	1	14.413	11.820
fcorn	17	50	1	0	1	1	14.413	11.820
anacreon	17	50	1	0	1	1	14.413	11.820
gape	17	50	1	0	1	1	14.413	11.820
marvel	17	50	1	0	1	1	14.413	11.820
provoke	22	60	1	1	0	1	14.045	11.557
epileptic	22	60	1	1	0	1	14.045	11.557
armagh	24	80	1	1	0	1	13.466	11.142
derifion	24	80	1	0	1	1	13.466	11.142
angry	24	80	1	0	1	1	13.466	11.142
prone	27	120	1	1	0	1	12.651	10.557
burlefque	28	150	1	0	1	1	12.204	10.235
pride	29	160	1	0	1	1	12.074	10.142
readers	30	180	1	1	0	1	11.838	9.972
