Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
excites	1	150	3	2	1	2	41.762	11.457
provoke	2	60	2	2	0	1	29.900	12.194
mirth	3	90	2	1	1	1	28.256	11.609
burlefque	4	150	2	1	1	1	26.195	10.872
brows	5	290	2	1	1	2	23.547	9.921
contempt	6	380	2	2	0	2	22.464	9.531
produdhte	7	10	1	1	0	1	17.211	13.779
cbeerfulnefs	7	10	1	1	0	1	17.211	13.779
lucian	7	10	1	0	1	1	17.211	13.779
fertation	7	10	1	0	1	1	17.211	13.779
regaining	7	10	1	0	1	1	17.211	13.779
ofyoikfhire	7	10	1	0	1	1	17.211	13.779
mankind	13	1680	2	1	1	1	16.529	7.387
tickles	14	20	1	1	0	1	15.772	12.779
knit	14	20	1	1	0	1	15.772	12.779
lavendula	14	20	1	1	0	1	15.772	12.779
recreation	14	20	1	0	1	1	15.772	12.779
chearfulnefs	14	20	1	0	1	1	15.772	12.779
relaxa	14	20	1	0	1	1	15.772	12.779
fpedtators	20	30	1	0	1	1	14.944	12.194
diftinguifhable	21	50	1	1	0	1	13.909	11.457
flighter	21	50	1	1	0	1	13.909	11.457
dinburgh	23	60	1	1	0	1	13.541	11.194
taleb	24	70	1	0	1	1	13.231	10.972
telling	25	80	1	0	1	1	12.962	10.779
