Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
laughter	1	180	2	1	1	1	28.256	11.609
feafoaaf	2	10	1	1	0	1	18.603	14.779
gpod	2	10	1	1	0	1	18.603	14.779
produdhte	2	10	1	1	0	1	18.603	14.779
railes	2	10	1	1	0	1	18.603	14.779
hilarodi	2	10	1	0	1	1	18.603	14.779
diflblutenefs	2	10	1	0	1	1	18.603	14.779
ators	8	20	1	1	0	1	17.164	13.779
recreation	8	20	1	0	1	1	17.164	13.779
chearfulnefs	8	20	1	0	1	1	17.164	13.779
falftaff	11	30	1	0	1	1	16.336	13.194
exprefiions	12	40	1	1	0	1	15.752	12.779
banquets	12	40	1	0	1	1	15.752	12.779
fports	14	60	1	1	0	1	14.933	12.194
rejoicing	15	70	1	1	0	1	14.622	11.972
relaxes	15	70	1	0	1	1	14.622	11.972
elevates	17	100	1	1	0	1	13.905	11.457
gaiety	18	120	1	1	0	1	13.539	11.194
draining	19	170	1	1	0	1	12.840	10.692
charity	19	170	1	0	1	1	12.840	10.692
folemnity	21	300	1	0	1	1	11.702	9.872
entertainment	22	340	1	0	1	1	11.452	9.692
