Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
derifion	1	80	2	1	1	2	28.962	11.862
punilh	2	90	2	1	1	1	28.486	11.692
burlefque	3	150	2	2	0	1	26.425	10.955
ridicule	4	170	2	1	1	1	25.921	10.774
recount	5	10	1	1	0	1	17.326	13.862
gelt	5	10	1	1	0	1	17.326	13.862
astronomicals	5	10	1	0	1	1	17.326	13.862
boyrowing	5	10	1	0	1	1	17.326	13.862
fashions	5	10	1	0	1	1	17.326	13.862
grotska	5	10	1	0	1	1	17.326	13.862
liarly	11	40	1	1	0	1	14.475	11.862
farcin	11	40	1	0	1	1	14.475	11.862
fubjedt	13	3180	2	1	1	2	14.224	6.549
aims	14	70	1	1	0	1	13.345	11.054
palpable	14	70	1	1	0	1	13.345	11.054
furprize	14	70	1	1	0	1	13.345	11.054
antirrhinum	17	90	1	0	1	1	12.840	10.692
